Stock,Observation Period,Model Accuracy on Training Data,Model Accuracy on Test Data,True Positives,False Positives,False Negative,True Negative
NKE,Sixty_Day_Observation_Outcome,0.7247729566094854,0.7115481593545133,1177,125,447,234
FB,Five_Day_Observation_Outcome,0.6448953709575143,0.6278481012658228,214,31,116,34
FB,Thirty_Day_Observation_Outcome,0.703868103994927,0.6683544303797468,196,48,83,68
FB,Sixty_Day_Observation_Outcome,0.7469879518072289,0.6987341772151898,196,41,78,80
DIS,Five_Day_Observation_Outcome,0.6658990105765951,0.6615489593995223,1917,21,971,22
DIS,Thirty_Day_Observation_Outcome,0.6644489935175708,0.6799727055612419,1954,19,919,39
DIS,Sixty_Day_Observation_Outcome,0.6614636642784033,0.661207778915046,1855,52,941,83
NFLX,Five_Day_Observation_Outcome,0.5746518105849582,0.5902004454342984,431,69,299,99
NFLX,Thirty_Day_Observation_Outcome,0.5958217270194986,0.5734966592427617,257,211,172,258
NFLX,Sixty_Day_Observation_Outcome,0.6083565459610027,0.5946547884187082,203,240,124,331
JPM,Five_Day_Observation_Outcome,0.6371407333994054,0.6362735381565907,1242,37,697,42
JPM,Thirty_Day_Observation_Outcome,0.6638999008919723,0.666005946481665,1252,61,613,92
JPM,Sixty_Day_Observation_Outcome,0.6865708622398414,0.686818632309217,1252,87,545,134
ABT,Five_Day_Observation_Outcome,0.6681119920713577,0.6754212091179386,1322,34,621,41
ABT,Thirty_Day_Observation_Outcome,0.7019326065411299,0.7165510406342914,1392,50,522,54
ABT,Sixty_Day_Observation_Outcome,0.7138255698711595,0.7190287413280476,1406,38,529,45
TSLA,Five_Day_Observation_Outcome,0.5997958141909138,0.5612244897959183,202,73,142,73
TSLA,Thirty_Day_Observation_Outcome,0.6513527309851965,0.6408163265306123,219,64,112,95
TSLA,Sixty_Day_Observation_Outcome,0.669218989280245,0.6387755102040816,211,71,106,102
GOOGL,Five_Day_Observation_Outcome,0.6355527237973877,0.6343949044585987,472,29,258,26
GOOGL,Thirty_Day_Observation_Outcome,0.6868429436126154,0.6458598726114649,460,40,238,47
GOOGL,Sixty_Day_Observation_Outcome,0.7075501752150366,0.6815286624203821,434,69,181,101
GOOG,Five_Day_Observation_Outcome,0.6451099076138898,0.6394904458598726,473,34,249,29
GOOG,Thirty_Day_Observation_Outcome,0.6862057980248487,0.640764331210191,453,44,238,50
GOOG,Sixty_Day_Observation_Outcome,0.7075501752150366,0.6751592356687898,436,65,190,94
PFE,Five_Day_Observation_Outcome,0.7853587722936541,0.7848258706467661,1871,21,498,22
PFE,Thirty_Day_Observation_Outcome,0.795935296557445,0.7943615257048093,1761,126,370,155
PFE,Sixty_Day_Observation_Outcome,0.8105557859809208,0.8059701492537313,1668,156,312,276
VZ,Five_Day_Observation_Outcome,0.6889161889161889,0.675764192139738,1224,22,572,14
VZ,Thirty_Day_Observation_Outcome,0.7223587223587223,0.7134279475982532,1295,13,512,12
VZ,Sixty_Day_Observation_Outcome,0.7349167349167349,0.7177947598253275,1288,25,492,27
NVO,Five_Day_Observation_Outcome,0.7748884639898024,0.745158002038736,1417,41,459,45
NVO,Thirty_Day_Observation_Outcome,0.754238368387508,0.745158002038736,1393,88,412,69
NVO,Sixty_Day_Observation_Outcome,0.7465901848311026,0.7222222222222222,1302,122,423,115
BABA,Five_Day_Observation_Outcome,0.6398916967509025,0.6425992779783394,139,26,73,39
BABA,Thirty_Day_Observation_Outcome,0.7120938628158845,0.6642599277978339,134,32,61,50
BABA,Sixty_Day_Observation_Outcome,0.7545126353790613,0.7292418772563177,141,27,48,61
UNH,Five_Day_Observation_Outcome,0.625927481450371,0.6254199328107503,1015,83,586,102
UNH,Thirty_Day_Observation_Outcome,0.6351672966540669,0.6338185890257558,974,144,510,158
UNH,Sixty_Day_Observation_Outcome,0.6500069998600028,0.6573348264277715,984,127,485,190
MA,Five_Day_Observation_Outcome,0.6417535034135825,0.6379310344827587,377,66,186,67
MA,Thirty_Day_Observation_Outcome,0.6737333812432627,0.6738505747126436,368,59,168,101
MA,Sixty_Day_Observation_Outcome,0.703197987782968,0.6853448275862069,326,88,131,151
AAPL,Five_Day_Observation_Outcome,0.5967171717171718,0.5926299848561333,1132,49,758,42
AAPL,Thirty_Day_Observation_Outcome,0.603030303030303,0.5729429581019687,899,219,627,236
AAPL,Sixty_Day_Observation_Outcome,0.6267676767676768,0.6148409893992933,816,277,486,402
WMT,Five_Day_Observation_Outcome,0.7162654996353027,0.7070833333333333,1656,56,647,41
WMT,Thirty_Day_Observation_Outcome,0.7117849327914973,0.7025,1555,144,570,131
WMT,Sixty_Day_Observation_Outcome,0.7263728248410962,0.7216666666666667,1500,163,505,232
SAP,Five_Day_Observation_Outcome,0.6462722852512156,0.6337115072933549,728,47,405,54
SAP,Thirty_Day_Observation_Outcome,0.6934764991896273,0.6888168557536467,723,80,304,127
SAP,Sixty_Day_Observation_Outcome,0.7216369529983793,0.7082658022690438,728,78,282,146
ASML,Five_Day_Observation_Outcome,0.6028974002778329,0.5833333333333334,675,72,453,60
ASML,Thirty_Day_Observation_Outcome,0.6189720182575907,0.6031746031746031,649,99,401,111
ASML,Sixty_Day_Observation_Outcome,0.6314744989085136,0.6222222222222222,620,125,351,164
JNJ,Five_Day_Observation_Outcome,0.8102183555100648,0.7911975435005117,2297,22,590,22
JNJ,Thirty_Day_Observation_Outcome,0.8138860457181849,0.791538723984988,2221,77,534,99
JNJ,Sixty_Day_Observation_Outcome,0.8165301944728761,0.8051859433640396,2145,129,442,215
TV,Five_Day_Observation_Outcome,0.6301266301266302,0.6273620559334845,815,21,472,15
TV,Thirty_Day_Observation_Outcome,0.6832356832356833,0.6613756613756614,817,51,397,58
TV,Sixty_Day_Observation_Outcome,0.7112077112077112,0.7112622826908541,862,51,331,79
CRM,Five_Day_Observation_Outcome,0.6184169031851151,0.6015132408575031,430,51,265,47
CRM,Thirty_Day_Observation_Outcome,0.6385998107852412,0.6279949558638083,374,99,196,124
CRM,Sixty_Day_Observation_Outcome,0.6609902239041312,0.6532156368221942,368,101,174,150
